Date,Month,Device,Channel,Campaign Type,Media Type,Region,Targeting,Cost,Clicks
1/18/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,5715.26,31306
1/18/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,8.56,18
1/19/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,1589.16,5844
1/19/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,81.28,68
1/19/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,134.62,796
1/20/2013,1,Desktop,Google,Managed,Display,EMEA,Reach,1591.02,5488
1/20/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,71.76,42
1/20/2013,1,Desktop,Google,Reach,Display,Global,Reach,271,168
1/20/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,7.26,10
1/20/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,142,798
1/20/2013,1,Tablet,Google,Reach,Display,AMS,Reach,198.896,2962
1/21/2013,1,Mobile,Google,Reach,Display,EMEA  ,Reach,13.64,18
1/21/2013,1,Mobile,Google,Reach,Display,Global,Reach,513.24,718
1/21/2013,1,Tablet,Google,Reach,Display,AMS,Reach,133.782,2102
1/1/2013,1,Mobile,Google,Reach,Display,AMS,Reach,1266.9,18424
1/1/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,34.22,246
1/1/2013,1,Unknown,Google,Reach,Display,AMS,Reach,0.22,2
1/2/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,72.44,904
1/2/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,14.8,6
1/2/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,46.14,34
1/3/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,156.12,936
1/3/2013,1,Unknown,Google,Reach,Display,AMS,Reach,0.6,4
1/4/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,93.5,116
1/4/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,1104.88,4222
1/4/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,53.14,778
1/4/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,11.96,10
1/4/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,58.86,60
1/6/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,94.08,122
1/6/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,1094.36,4648
1/6/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,131.16,950
1/6/2013,1,Tablet,Google,Reach,Display,Global,Reach,403.56,404
1/7/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,2.44,4
1/8/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,1298.12,6764
1/8/2013,1,Desktop,Google,Reach,Display,Global,Reach,536.54,294
1/8/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,115.56,890
1/8/2013,1,Tablet,Google,Reach,Display,Global,Reach,203.08,170
1/9/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,336.32,240
1/9/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,0.84,2
1/9/2013,1,Unknown,Google,Remarketing,Display,Global,Remarketing,0.98,2
1/10/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,67.58,650
1/10/2013,1,Desktop,Google,Reach,Display,Global,Reach,616.04,344
1/10/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,1.88,28
1/10/2013,1,Tablet,Google,Managed,Display,EMEA,Reach,192.04,938
1/11/2013,1,Desktop,Google,Reach,Display,EMEA  ,Reach,271.9,184
1/11/2013,1,Mobile,Google,Reach,Display,Global,Reach,717.52,976
